player_id,player_name,season,team_abbr,team_next,salary_usd,salary_next,real_salary_change,draft_round,experience,cy_A_up,cy_A_down,cy_B_offseason,cy_B_trade,cy_C,contract_year,cy_exogenous
evansty01,Tyreke Evans,2018,MEM,IND,3290000.0,12400000.0,2.665432765301222,1.0,9.0,1,0,1,0,0,1,1
evansty01,Tyreke Evans,2019,IND,,12400000.0,,,1.0,10.0,,,,0,0,,
exumda01,Danté Exum,2017,UTA,UTA,3940320.0,10600000.0,1.554408444014976,1.0,3.0,1,0,0,0,1,1,1
exumda01,Danté Exum,2019,UTA,2TM,10600000.0,9600000.0,-0.15410822683015413,1.0,5.0,0,0,,0,0,,
exumda01,Danté Exum,2020,2TM,DAL,9600000.0,3000000.0,-0.6875,1.0,6.0,,,,1,0,,
exumda01,Danté Exum,2024,DAL,,3000000.0,,,1.0,10.0,,,,0,0,,
ezelife01,Festus Ezeli,2016,GSW,,2008748.0,,,1.0,4.0,,,,0,0,,
farieke01,Kenneth Faried,2016,DEN,DEN,11235955.0,12078652.0,-0.2003187849495217,1.0,5.0,0,0,0,0,0,0,0
farieke01,Kenneth Faried,2017,DEN,DEN,12078652.0,12921348.0,0.015793251323088286,1.0,6.0,0,0,0,0,0,0,0
farieke01,Kenneth Faried,2018,DEN,2TM,12921348.0,14242782.0,0.07197948560286616,1.0,7.0,0,0,,0,0,,
farieke01,Kenneth Faried,2019,2TM,,14242782.0,,,1.0,8.0,,,,1,0,,
favorde01,Derrick Favors,2016,UTA,UTA,12000000.0,11050000.0,-0.3150017711654268,1.0,6.0,0,1,0,0,0,0,0
favorde01,Derrick Favors,2017,UTA,UTA,11050000.0,12000000.0,0.031181082228746604,1.0,7.0,0,0,0,0,0,0,0
favorde01,Derrick Favors,2018,UTA,UTA,12000000.0,16900000.0,0.36963526333006214,1.0,8.0,1,0,0,0,0,1,0
favorde01,Derrick Favors,2019,UTA,NOP,16900000.0,17650000.0,-0.024544552253781604,1.0,9.0,0,0,1,0,0,1,1
favorde01,Derrick Favors,2020,NOP,UTA,17650000.0,9258000.0,-0.4754674220963173,1.0,10.0,0,1,1,0,0,1,1
favorde01,Derrick Favors,2021,UTA,OKC,9258000.0,9720900.0,0.01917259786476877,1.0,11.0,0,0,1,0,0,1,1
favorde01,Derrick Favors,2022,OKC,,9720900.0,,,1.0,12.0,,,,0,0,,
feldeka01,Kay Felder,2017,CLE,,543471.0,,,2.0,1.0,,,,0,1,1,1
feliccr01,Cristiano Felício,2016,CHI,CHI,525093.0,874636.0,0.23908054115601796,,1.0,0,0,0,0,0,0,0
feliccr01,Cristiano Felício,2017,CHI,CHI,874636.0,7843500.0,7.515271919213246,,2.0,1,0,0,0,0,1,0
feliccr01,Cristiano Felício,2018,CHI,CHI,7843500.0,8470980.0,0.05032384690873393,,3.0,0,0,0,0,0,0,0
feliccr01,Cristiano Felício,2019,CHI,CHI,8470980.0,8156500.0,-0.10066888872221214,,4.0,0,0,0,0,0,0,0
feliccr01,Cristiano Felício,2020,CHI,,8156500.0,,,,5.0,,,,0,0,,
feltora01,Raymond Felton,2016,DAL,LAC,4540000.0,1551659.0,-0.7457570912938247,1.0,11.0,0,1,1,0,0,1,1
feltora01,Raymond Felton,2017,LAC,OKC,1551659.0,2328652.0,0.425030879793294,1.0,12.0,1,0,1,0,0,1,1
feltora01,Raymond Felton,2018,OKC,OKC,2328652.0,2393887.0,-0.00023362629856216177,1.0,13.0,0,0,0,0,0,0,0
feltora01,Raymond Felton,2019,OKC,,2393887.0,,,1.0,14.0,,,,0,0,,
fergute01,Terrance Ferguson,2018,OKC,OKC,1785000.0,2118840.0,0.15440822688250955,1.0,1.0,0,0,0,0,0,0,0
fergute01,Terrance Ferguson,2019,OKC,OKC,2118840.0,2475840.0,0.09137460874126146,1.0,2.0,0,0,0,0,0,0,0
fergute01,Terrance Ferguson,2020,OKC,,2475840.0,,,1.0,3.0,,,,0,1,1,1
fernabr01,Bruno Fernando,2020,ATL,ATL,1400000.0,1517981.0,0.08427214285714268,2.0,1.0,0,0,0,0,1,1,1
fernabr01,Bruno Fernando,2021,ATL,2TM,1517981.0,1782621.0,0.13985897218444499,2.0,2.0,0,0,,0,0,,
fernabr01,Bruno Fernando,2022,2TM,2TM,1782621.0,2717391.0,0.3851274176126307,2.0,3.0,,,,1,0,,
fernabr01,Bruno Fernando,2023,2TM,ATL,2717391.0,2581522.0,-0.1359189335523323,2.0,4.0,,,,1,0,,
fernabr01,Bruno Fernando,2024,ATL,,2581522.0,,,2.0,5.0,,,,0,0,,
ferreyo01,Yogi Ferrell,2017,2TM,DAL,409300.0,1312611.0,2.0451610327297,,1.0,,,,1,0,,
ferreyo01,Yogi Ferrell,2018,DAL,SAC,1312611.0,3000000.0,1.2227196339305024,,2.0,1,0,1,0,0,1,1
ferreyo01,Yogi Ferrell,2019,SAC,SAC,3000000.0,3150000.0,-0.01929422548120996,,3.0,0,0,0,0,0,0,0
ferreyo01,Yogi Ferrell,2020,SAC,,3150000.0,,,,4.0,,,,0,0,,
finnedo01,Dorian Finney-Smith,2017,DAL,DAL,543471.0,1312611.0,1.2933779552106115,,1.0,1,0,0,0,0,1,0
finnedo01,Dorian Finney-Smith,2018,DAL,DAL,1312611.0,1544951.0,0.14466430705352096,,2.0,0,0,0,0,0,0,0
finnedo01,Dorian Finney-Smith,2019,DAL,DAL,1544951.0,4000000.0,1.4182139098047895,,3.0,1,0,0,0,0,1,0
finnedo01,Dorian Finney-Smith,2020,DAL,DAL,4000000.0,4000000.0,0.0,,4.0,0,0,0,0,0,0,0
finnedo01,Dorian Finney-Smith,2021,DAL,DAL,4000000.0,4000000.0,-0.02935943060498214,,5.0,0,0,0,0,0,0,0
finnedo01,Dorian Finney-Smith,2022,DAL,2TM,4000000.0,12939848.0,1.9394480905416325,,6.0,1,0,,0,0,1,
finnedo01,Dorian Finney-Smith,2023,2TM,BRK,12939848.0,13932008.0,-0.02070095368335445,,7.0,,,,1,0,,
finnedo01,Dorian Finney-Smith,2024,BRK,,13932008.0,,,,8.0,,,,0,0,,
flynnma01,Malachi Flynn,2021,TOR,TOR,1950600.0,2048040.0,0.019127812849263126,1.0,1.0,0,0,0,0,0,0,0
flynnma01,Malachi Flynn,2022,TOR,TOR,2048040.0,2145720.0,-0.04801254308060399,1.0,2.0,0,0,0,0,0,0,0
flynnma01,Malachi Flynn,2023,TOR,3TM,2145720.0,3873024.0,0.6417534221339114,1.0,3.0,1,0,,0,1,1,1
