player_id,season,gp,season_length_t,games_missed_t,gp_pct_t,games_missed_lag1,games_missed_3y_cum
beaslma01,2021,37,72,35,0.5138888888888888,17.0,38.0
beaslma01,2022,79,82,3,0.9634146341463414,35.0,53.0
beaslma01,2023,81,82,1,0.9878048780487805,3.0,55.0
beaslma01,2024,79,82,3,0.9634146341463414,1.0,39.0
beaslmi01,2016,20,82,62,0.24390243902439024,,
beaslmi01,2017,56,82,26,0.6829268292682927,62.0,62.0
beaslmi01,2018,74,82,8,0.9024390243902439,26.0,88.0
beaslmi01,2019,26,82,56,0.3170731707317073,8.0,96.0
beaucma01,2023,52,82,30,0.6341463414634146,,
beaucma01,2024,48,82,34,0.5853658536585366,30.0,30.0
belinma01,2016,68,82,14,0.8292682926829268,,
belinma01,2017,74,82,8,0.9024390243902439,14.0,14.0
belinma01,2018,80,82,2,0.975609756097561,8.0,22.0
belinma01,2019,79,82,3,0.9634146341463414,2.0,24.0
belinma01,2020,57,72,15,0.7916666666666666,3.0,13.0
belljo01,2018,57,82,25,0.6951219512195121,,
belljo01,2019,68,82,14,0.8292682926829268,25.0,25.0
belljo01,2020,29,72,43,0.4027777777777778,14.0,39.0
bembrde01,2017,38,82,44,0.4634146341463415,,
bembrde01,2018,26,82,56,0.3170731707317073,44.0,44.0
bembrde01,2019,82,82,0,1.0,56.0,100.0
bembrde01,2020,43,72,29,0.5972222222222222,0.0,100.0
bembrde01,2021,51,72,21,0.7083333333333334,29.0,85.0
bembrde01,2022,56,82,26,0.6829268292682927,21.0,50.0
bendedr01,2017,43,82,39,0.524390243902439,,
bendedr01,2018,82,82,0,1.0,39.0,39.0
bendedr01,2019,46,82,36,0.5609756097560976,0.0,39.0
bennean01,2017,23,82,59,0.2804878048780488,,
bertada01,2017,67,82,15,0.8170731707317073,,
bertada01,2018,77,82,5,0.9390243902439024,15.0,15.0
bertada01,2019,76,82,6,0.926829268292683,5.0,20.0
bertada01,2020,54,72,18,0.75,6.0,26.0
bertada01,2021,57,72,15,0.7916666666666666,18.0,29.0
bertada01,2022,56,82,26,0.6829268292682927,15.0,39.0
bertada01,2023,45,82,37,0.5487804878048781,26.0,59.0
bertada01,2024,43,82,39,0.524390243902439,37.0,78.0
beverpa01,2016,71,82,11,0.8658536585365854,,
beverpa01,2017,67,82,15,0.8170731707317073,11.0,11.0
beverpa01,2019,78,82,4,0.9512195121951219,15.0,26.0
beverpa01,2020,51,72,21,0.7083333333333334,4.0,30.0
beverpa01,2021,37,72,35,0.5138888888888888,21.0,40.0
beverpa01,2022,58,82,24,0.7073170731707317,35.0,60.0
beverpa01,2023,67,82,15,0.8170731707317073,24.0,80.0
beverpa01,2024,73,82,9,0.8902439024390244,15.0,74.0
beysa01,2021,70,72,2,0.9722222222222222,,
beysa01,2022,82,82,0,1.0,2.0,2.0
beysa01,2023,77,82,5,0.9390243902439024,0.0,2.0
beysa01,2024,63,82,19,0.7682926829268293,5.0,7.0
birchkh01,2018,42,82,40,0.5121951219512195,,
birchkh01,2019,50,82,32,0.6097560975609756,40.0,40.0
birchkh01,2020,48,72,24,0.6666666666666666,32.0,72.0
birchkh01,2021,67,72,5,0.9305555555555556,24.0,96.0
birchkh01,2022,55,82,27,0.6707317073170732,5.0,61.0
birchkh01,2023,20,82,62,0.24390243902439024,27.0,56.0
bitadgo01,2020,54,72,18,0.75,,
bitadgo01,2021,45,72,27,0.625,18.0,18.0
bitadgo01,2022,50,82,32,0.6097560975609756,27.0,45.0
bitadgo01,2023,38,82,44,0.4634146341463415,32.0,77.0
bitadgo01,2024,62,82,20,0.7560975609756098,44.0,103.0
bitimon01,2024,23,82,59,0.2804878048780488,,
biyombi01,2016,82,82,0,1.0,,
biyombi01,2017,81,82,1,0.9878048780487805,0.0,0.0
biyombi01,2018,82,82,0,1.0,1.0,1.0
biyombi01,2019,54,82,28,0.6585365853658537,0.0,1.0
biyombi01,2020,53,72,19,0.7361111111111112,28.0,29.0
biyombi01,2021,66,72,6,0.9166666666666666,19.0,47.0
biyombi01,2022,36,82,46,0.43902439024390244,6.0,53.0
biyombi01,2023,61,82,21,0.7439024390243902,46.0,71.0
biyombi01,2024,40,82,42,0.4878048780487805,21.0,73.0
bjeline01,2016,60,82,22,0.7317073170731707,,
bjeline01,2017,65,82,17,0.7926829268292683,22.0,22.0
bjeline01,2018,67,82,15,0.8170731707317073,17.0,39.0
bjeline01,2019,77,82,5,0.9390243902439024,15.0,54.0
bjeline01,2020,72,72,0,1.0,5.0,37.0
bjeline01,2021,37,72,35,0.5138888888888888,0.0,20.0
bjeline01,2022,71,82,11,0.8658536585365854,35.0,40.0
blackan01,2024,69,82,13,0.8414634146341463,,
blackle01,2024,26,82,56,0.3170731707317073,,
blackta01,2016,39,82,43,0.47560975609756095,,
blackta01,2017,67,82,15,0.8170731707317073,43.0,43.0
blackta01,2018,51,82,31,0.6219512195121951,15.0,58.0
blairde01,2016,29,82,53,0.35365853658536583,,
blakean01,2019,57,82,25,0.6951219512195121,,
blakest01,2016,58,82,24,0.7073170731707317,,
bledser01,2016,31,82,51,0.3780487804878049,,
bledser01,2017,66,82,16,0.8048780487804879,51.0,51.0
bledser01,2018,74,82,8,0.9024390243902439,16.0,67.0
bledser01,2019,78,82,4,0.9512195121951219,8.0,75.0
bledser01,2020,61,72,11,0.8472222222222222,4.0,28.0
bledser01,2021,71,72,1,0.9861111111111112,11.0,23.0
bledser01,2022,54,82,28,0.6585365853658537,1.0,16.0
blevike01,2022,31,82,51,0.3780487804878049,,
bogdabo01,2018,78,82,4,0.9512195121951219,,
bogdabo01,2019,70,82,12,0.8536585365853658,4.0,4.0
bogdabo01,2020,61,72,11,0.8472222222222222,12.0,16.0
bogdabo01,2021,44,72,28,0.6111111111111112,11.0,27.0
bogdabo01,2022,63,82,19,0.7682926829268293,28.0,51.0
bogdabo01,2023,54,82,28,0.6585365853658537,19.0,58.0
bogdabo01,2024,79,82,3,0.9634146341463414,28.0,75.0
bogdabo02,2016,79,82,3,0.9634146341463414,,
bogdabo02,2017,81,82,1,0.9878048780487805,3.0,3.0
bogdabo02,2018,80,82,2,0.975609756097561,1.0,4.0
bogdabo02,2019,81,82,1,0.9878048780487805,2.0,6.0
bogdabo02,2020,63,72,9,0.875,1.0,4.0
bogdabo02,2021,72,72,0,1.0,9.0,12.0
bogdabo02,2022,69,82,13,0.8414634146341463,0.0,10.0
bogdabo02,2023,59,82,23,0.7195121951219512,13.0,22.0
bogdabo02,2024,57,82,25,0.6951219512195121,23.0,36.0
bogutan01,2016,70,82,12,0.8536585365853658,,
bogutan01,2017,27,82,55,0.32926829268292684,12.0,12.0
bogutan01,2018,24,82,58,0.2926829268292683,55.0,67.0
bolbo01,2021,32,72,40,0.4444444444444444,,
bolbo01,2023,70,82,12,0.8536585365853658,40.0,40.0
bolbo01,2024,43,82,39,0.524390243902439,12.0,52.0
boldejo01,2019,44,82,38,0.5365853658536586,,
bolmale01,2022,35,82,47,0.4268292682926829,,
bongais01,2019,22,82,60,0.2682926829268293,,
bongais01,2020,66,72,6,0.9166666666666666,60.0,60.0
bongais01,2021,40,72,32,0.5555555555555556,6.0,66.0
bonnema01,2016,30,82,52,0.36585365853658536,,
bookede01,2016,76,82,6,0.926829268292683,,
bookede01,2017,78,82,4,0.9512195121951219,6.0,6.0
bookede01,2018,54,82,28,0.6585365853658537,4.0,10.0
bookede01,2019,64,82,18,0.7804878048780488,28.0,38.0
bookede01,2020,70,72,2,0.9722222222222222,18.0,50.0
bookede01,2021,67,72,5,0.9305555555555556,2.0,48.0
bookede01,2022,68,82,14,0.8292682926829268,5.0,25.0
bookede01,2023,53,82,29,0.6463414634146342,14.0,21.0
bookede01,2024,68,82,14,0.8292682926829268,29.0,48.0
booketr01,2016,79,82,3,0.9634146341463414,,
booketr01,2017,71,82,11,0.8658536585365854,3.0,3.0
booketr01,2018,68,82,14,0.8292682926829268,11.0,14.0
boshch01,2016,53,82,29,0.6463414634146342,,
bouchch01,2019,28,82,54,0.34146341463414637,,
bouchch01,2020,62,72,10,0.8611111111111112,54.0,54.0
bouchch01,2021,60,72,12,0.8333333333333334,10.0,64.0
bouchch01,2022,80,82,2,0.975609756097561,12.0,76.0
bouchch01,2023,76,82,6,0.926829268292683,2.0,24.0
bouchch01,2024,50,82,32,0.6097560975609756,6.0,20.0
bouknja01,2022,31,82,51,0.3780487804878049,,
bouknja01,2023,34,82,48,0.4146341463414634,51.0,51.0
bowmaky01,2020,45,72,27,0.625,,
bradlav01,2016,76,82,6,0.926829268292683,,
bradlav01,2017,55,82,27,0.6707317073170732,6.0,6.0
bradlav01,2018,46,82,36,0.5609756097560976,27.0,33.0
bradlav01,2019,63,82,19,0.7682926829268293,36.0,69.0
bradlav01,2020,49,72,23,0.6805555555555556,19.0,82.0
bradlav01,2021,27,72,45,0.375,23.0,78.0
bradlav01,2022,62,82,20,0.7560975609756098,45.0,87.0
bradlto01,2020,58,72,14,0.8055555555555556,,
bradlto01,2021,42,72,30,0.5833333333333334,14.0,14.0
bradlto01,2022,55,82,27,0.6707317073170732,30.0,44.0
branhma01,2023,66,82,16,0.8048780487804879,,
branhma01,2024,75,82,7,0.9146341463414634,16.0,16.0
braunch01,2023,76,82,6,0.926829268292683,,
braunch01,2024,82,82,0,1.0,6.0,6.0
brazdig01,2022,42,82,40,0.5121951219512195,,
breweco01,2016,82,82,0,1.0,,
breweco01,2017,82,82,0,1.0,0.0,0.0
breweco01,2018,72,82,10,0.8780487804878049,0.0,0.0
breweco01,2019,31,82,51,0.3780487804878049,10.0,10.0
bridgmi01,2019,82,82,0,1.0,,
bridgmi01,2020,73,72,0,1.0138888888888888,0.0,0.0
bridgmi01,2021,72,72,0,1.0,0.0,0.0
bridgmi01,2022,82,82,0,1.0,0.0,0.0
bridgmi01,2023,83,82,0,1.0121951219512195,0.0,0.0
bridgmi01,2024,82,82,0,1.0,0.0,0.0
bridgmi02,2019,80,82,2,0.975609756097561,,
bridgmi02,2020,65,72,7,0.9027777777777778,2.0,2.0
bridgmi02,2021,66,72,6,0.9166666666666666,7.0,9.0
bridgmi02,2022,80,82,2,0.975609756097561,6.0,15.0
bridgmi02,2024,69,82,13,0.8414634146341463,2.0,15.0
briscis01,2019,39,82,43,0.47560975609756095,,
brissos01,2021,21,72,51,0.2916666666666667,,
brissos01,2022,67,82,15,0.8170731707317073,51.0,51.0
brissos01,2023,65,82,17,0.7926829268292683,15.0,66.0
brissos01,2024,55,82,27,0.6707317073170732,17.0,83.0
broekry01,2019,42,82,40,0.5121951219512195,,
brogdma01,2017,75,82,7,0.9146341463414634,,
