birth_date_bbref,birth_city,birth_country_code,player_id,fetch_error,player_name,birth_country,is_international
1997-04-10,Koper,si,cancavl01,,Vlatko Čančar,Slovenia,1
1994-05-18,Geneva,ch,capelca01,,Clint Capela,Switzerland,1
1986-07-27,Birmingham,us,carrode01,,DeMarre Carroll,USA,0
1995-09-14,Maywood,us,carteje01,,Jevon Carter,USA,0
1991-10-10,Hamilton,us,cartemi01,,Michael Carter-Williams,USA,0
1977-01-26,Daytona Beach,us,cartevi01,,Vince Carter,USA,0
1999-04-16,Atlanta,us,cartewe01,,Wendell Carter Jr.,USA,0
1994-02-28,College Station,us,carusal01,,Alex Caruso,USA,0
1988-06-22,Holon,il,casspom01,,Omri Casspi,Israel,1
1993-08-18,Spearville,us,caulewi01,,Willie Cauley-Stein,USA,0
1986-05-19,Anchorage,us,chalmma01,,Mario Chalmers,USA,0
2001-06-29,Brooklyn,us,champju01,,Justin Champagnie,USA,0
2001-06-29,Brooklyn,us,champju02,,Julian Champagnie,USA,0
2002-09-16,Cordova,us,chandke01,,Kennedy Chandler,USA,0
1982-10-02,Hanford,us,chandty01,,Tyson Chandler,USA,0
1987-05-10,Benton Harbor,us,chandwi01,,Wilson Chandler,USA,0
1995-11-21,Memphis,us,chiozch01,,Chris Chiozza,USA,0
2001-12-08,Carson,us,chrisjo01,,Josh Christopher,USA,0
1997-07-02,Sacramento,us,chrisma01,,Marquese Chriss,USA,0
2003-02-10,Arlington Heights,us,chrisma02,,Max Christie,USA,0
1991-12-01,Irvington,us,chrisra01,,Rakeem Christmas,USA,0
1992-11-01,Cincinnati,us,chrisse01,,Semaj Christon,USA,0
1996-09-19,Vancouver,ca,clarkbr01,,Brandon Clarke,Canada,1
1994-11-16,Smithfield,us,clarkga01,,Gary Clark,USA,0
1991-03-07,Memphis,us,clarkia01,,Ian Clark,USA,0
1992-06-07,Tampa,us,clarkjo01,,Jordan Clarkson,USA,0
1997-07-23,Raleigh,us,clemoch01,,Chris Clemons,USA,0
2004-07-14,Spartanburg,us,clownno01,,Noah Clowney,USA,0
