player_id,player_clean,player_name,season,team_abbr,position,age,gp,mp_total,per,ts_pct,fg3a_rate,ft_rate,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
washidu02,duane washington,Duane Washington Jr.,2022,IND,PG,21,48,968,10.2,0.521,0.504,0.143,0.5,9.3,4.8,13.0,1.3,0.3,11.2,22.6,-0.2,0.2,0.0,-0.002,-1.9,-2.8,-4.7,-0.7
primojo01,joshua primo,Joshua Primo,2022,SAS,SF,19,50,965,7.1,0.487,0.507,0.219,3.5,8.9,6.1,10.6,1.0,2.0,16.1,15.4,-0.6,0.6,0.0,0.001,-3.8,-1.1,-5.0,-0.7
wagnemo01,moritz wagner,Moritz Wagner,2022,ORL,C,24,63,960,18.1,0.623,0.508,0.326,4.6,21.0,12.8,15.4,1.0,1.2,11.0,22.9,1.8,1.0,2.8,0.138,1.5,0.1,1.6,0.9
griffbl01,blake griffin,Blake Griffin,2022,BRK,C,32,56,958,13.7,0.518,0.463,0.243,7.0,18.6,13.0,15.0,1.4,1.3,8.2,16.9,1.2,0.9,2.1,0.106,-0.6,0.1,-0.5,0.3
bateske01,keita bates diop,Keita Bates-Diop,2022,SAS,SF,26,59,957,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,0.6,1.0,1.6,0.08,-2.1,-0.5,-2.6,-0.1
robyis01,isaiah roby,Isaiah Roby,2022,OKC,PF,23,45,948,18.3,0.607,0.307,0.359,8.0,15.6,11.8,12.1,1.8,3.3,10.3,19.0,1.8,1.1,2.9,0.147,0.4,0.2,0.6,0.6
walkeke02,kemba walker,Kemba Walker,2022,NYK,PG,31,37,948,13.9,0.537,0.538,0.192,1.6,11.2,6.3,22.2,1.4,0.7,10.7,20.8,1.0,0.9,1.8,0.093,0.7,-0.2,0.4,0.6
gibsota01,taj gibson,Taj Gibson,2022,NYK,C,36,52,946,12.0,0.606,0.229,0.313,9.8,16.3,13.0,4.9,1.2,4.2,12.5,10.0,1.4,1.2,2.7,0.135,-3.0,1.0,-2.0,0.0
hachiru01,rui hachimura,Rui Hachimura,2022,WAS,PF,23,42,943,14.9,0.579,0.323,0.173,3.0,15.6,9.4,7.9,1.2,0.8,7.4,20.9,0.9,0.6,1.4,0.073,0.2,-1.7,-1.4,0.1
thompkl01,klay thompson,Klay Thompson,2022,GSW,SG,31,32,941,16.7,0.547,0.517,0.089,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,0.6,1.2,1.8,0.091,2.6,-1.6,1.1,0.7
lambje01,jeremy lamb,Jeremy Lamb,2022,2TM,SF,29,56,935,13.3,0.521,0.49,0.305,3.0,15.3,9.1,12.3,1.6,2.0,8.6,19.7,0.6,0.6,1.2,0.063,-0.4,-0.5,-0.8,0.3
smithja04,jalen smith,Jalen Smith,2022,2TM,PF,21,51,925,18.4,0.595,0.349,0.291,12.0,24.5,18.2,3.9,0.8,3.9,9.6,20.3,1.7,1.1,2.8,0.145,0.9,-1.4,-0.5,0.3
maledth01,theo maledon,Théo Maledon,2022,OKC,PG,20,51,908,10.6,0.5,0.473,0.315,2.2,12.8,7.4,18.5,1.7,1.1,15.3,20.3,-0.5,0.8,0.3,0.015,-3.7,-0.7,-4.4,-0.6
satorto01,tomas satoransky,Tomáš Satoranský,2022,3TM,SG,30,55,906,10.2,0.461,0.277,0.283,3.3,12.1,7.7,27.0,1.6,0.5,17.6,12.6,0.5,0.6,1.0,0.055,-3.3,-0.3,-3.7,-0.4
carteje01,jevon carter,Jevon Carter,2022,2TM,PG,26,66,905,9.6,0.531,0.672,0.071,1.7,11.2,6.6,14.0,1.3,1.4,11.5,14.0,0.5,0.7,1.2,0.062,-1.8,-0.4,-2.2,-0.1
mclaujo01,jordan mclaughlin,Jordan McLaughlin,2022,MIN,PG,25,62,902,13.4,0.535,0.425,0.2,2.6,8.8,5.6,26.1,3.0,1.1,14.9,11.8,1.3,1.0,2.3,0.123,-1.2,1.6,0.4,0.6
jonesde02,derrick jones,Derrick Jones Jr.,2022,CHI,PF,24,51,899,13.0,0.633,0.313,0.359,7.6,13.6,10.6,4.4,1.4,3.2,11.7,12.5,1.4,0.8,2.2,0.119,-1.5,0.5,-0.9,0.2
