player_clean,player_name,player_slug_hh,season,salary_usd
moe harkless,Moe Harkless,moe-harkless,2022,4347600.0
bobby portis,Bobby Portis,bobby-portis,2022,4347600.0
kevin huerter,Kevin Huerter,kevin-huerter,2022,4253357.0
devin vassell,Devin Vassell,devin-vassell,2022,4235160.0
chandler hutchison,Chandler Hutchison,chandler-hutchison,2022,4224186.0
willie cauley stein,Willie Cauley-Stein,willie-cauley-stein,2022,4220083.0
pj washington,PJ Washington,pj-washington,2022,4215120.0
james bouknight,James Bouknight,james-bouknight,2022,4154400.0
jevon carter,Jevon Carter,jevon-carter,2022,4107149.0
josh okogie,Josh Okogie,josh-okogie,2022,4087904.0
grayson allen,Grayson Allen,grayson-allen,2022,4054695.0
jarred vanderbilt,Jarred Vanderbilt,jarred-vanderbilt,2022,4050000.0
tyrese haliburton,Tyrese Haliburton,tyrese-haliburton,2022,4023600.0
tyler herro,Tyler Herro,tyler-herro,2022,4004280.0
gorgui dieng,Gorgui Dieng,gorgui-dieng,2022,4000000.0
dorian finney smith,Dorian Finney-Smith,dorian-finney-smith,2022,4000000.0
terence davis,Terence Davis,terence-davis,2022,4000000.0
aaron holiday,Aaron Holiday,aaron-holiday,2022,3980551.0
josh primo,Josh Primo,josh-primo,2022,3946800.0
jake layman,Jake Layman,jake-layman,2022,3940184.0
anfernee simons,Anfernee Simons,anfernee-simons,2022,3938818.0
justise winslow,Justise Winslow,justise-winslow,2022,3902439.0
kira lewis,Kira Lewis,kira-lewis,2022,3822240.0
romeo langford,Romeo Langford,romeo-langford,2022,3804360.0
sekou doumbouya,Sekou Doumbouya,sekou-doumbouya,2022,3799131.0
landry shamet,Landry Shamet,landry-shamet,2022,3768342.0
chris duarte,Chris Duarte,chris-duarte,2022,3749400.0
alex len,Alex Len,alex-len,2022,3732000.0
robert williams,Robert Williams,robert-williams,2022,3661976.0
aaron nesmith,Aaron Nesmith,aaron-nesmith,2022,3631200.0
moses moody,Moses Moody,moses-moody,2022,3562200.0
mike muscala,Mike Muscala,mike-muscala,2022,3500000.0
boban marjanovic,Boban Marjanovic,boban-marjanovic,2022,3500000.0
cole anthony,Cole Anthony,cole-anthony,2022,3449400.0
corey kispert,Corey Kispert,corey-kispert,2022,3383640.0
luka samanic,Luka Samanic,luka-samanic,2022,3355239.0
michael carter williams,Michael Carter-Williams,michael-carter-williams,2022,3300000.0
georges niang,Georges Niang,georges-niang,2022,3300000.0
isaiah stewart,Isaiah Stewart,isaiah-stewart,2022,3277080.0
chuma okeke,Chuma Okeke,chuma-okeke,2022,3277080.0
nickeil alexander walker,Nickeil Alexander-Walker,nickeil-alexander-walker,2022,3261480.0
alperen sengun,Alperen Sengun,alperen-sengun,2022,3214680.0
jon leuer,Jon Leuer,jon-leuer,2022,3169348.0
trey burke,Trey Burke,trey-burke,2022,3150000.0
aleksej pokusevski,Aleksej Pokusevski,aleksej-pokusevski,2022,3113160.0
facundo campazzo,Facundo Campazzo,facundo-campazzo,2022,3100000.0
goga bitadze,Goga Bitadze,goga-bitadze,2022,3098400.0
trey murphy,Trey Murphy,trey-murphy,2022,3053760.0
frank jackson,Frank Jackson,frank-jackson,2022,3000000.0
sterling brown,Sterling Brown,sterling-brown,2022,3000000.0
josh green,Josh Green,josh-green,2022,2957520.0
tre mann,Tre Mann,tre-mann,2022,2901240.0
andrew nicholson,Andrew Nicholson,andrew-nicholson,2022,2844429.0
matisse thybulle,Matisse Thybulle,matisse-thybulle,2022,2840160.0
saddiq bey,Saddiq Bey,saddiq-bey,2022,2824320.0
kai jones,Kai Jones,kai-jones,2022,2770560.0
brandon clarke,Brandon Clarke,brandon-clarke,2022,2726880.0
precious achiuwa,Precious Achiuwa,precious-achiuwa,2022,2711280.0
marc gasol,Marc Gasol,marc-gasol,2022,2692991.0
jalen johnson,Jalen Johnson,jalen-johnson,2022,2659680.0
paul millsap,Paul Millsap,paul-millsap,2022,2641691.0
etwaun moore,E'Twaun Moore,etwaun-moore,2022,2641691.0
markieff morris,Markieff Morris,markieff-morris,2022,2641691.0
udonis haslem,Udonis Haslem,udonis-haslem,2022,2641691.0
wayne ellington,Wayne Ellington,wayne-ellington,2022,2641691.0
trevor ariza,Trevor Ariza,trevor-ariza,2022,2641691.0
dwight howard,Dwight Howard,dwight-howard,2022,2641691.0
carmelo anthony,Carmelo Anthony,carmelo-anthony,2022,2641691.0
avery bradley,Avery Bradley,avery-bradley,2022,2641691.0
enes kanter,Enes Kanter,enes-kanter,2022,2641691.0
andre iguodala,Andre Iguodala,andre-iguodala,2022,2641691.0
ed davis,Ed Davis,ed-davis,2022,2641691.0
james johnson,James Johnson,james-johnson,2022,2641691.0
lamarcus aldridge,LaMarcus Aldridge,lamarcus-aldridge,2022,2641691.0
grant williams,Grant Williams,grant-williams,2022,2617800.0
tyrese maxey,Tyrese Maxey,tyrese-maxey,2022,2602920.0
keon johnson,Keon Johnson,keon-johnson,2022,2553240.0
darius bazley,Darius Bazley,darius-bazley,2022,2513040.0
trey lyles,Trey Lyles,trey-lyles,2022,2500000.0
zeke nnaji,Zeke Nnaji,zeke-nnaji,2022,2498760.0
isaiah jackson,Isaiah Jackson,isaiah-jackson,2022,2451240.0
ty jerome,Ty Jerome,ty-jerome,2022,2412840.0
andre drummond,Andre Drummond,andre-drummond,2022,2401537.0
austin rivers,Austin Rivers,austin-rivers,2022,2401537.0
kent bazemore,Kent Bazemore,kent-bazemore,2022,2401537.0
hassan whiteside,Hassan Whiteside,hassan-whiteside,2022,2401537.0
solomon hill,Solomon Hill,solomon-hill,2022,2389641.0
cody zeller,Cody Zeller,cody-zeller,2022,2389641.0
ben mclemore,Ben McLemore,ben-mclemore,2022,2389641.0
otto porter,Otto Porter,otto-porter,2022,2389641.0
tony snell,Tony Snell,tony-snell,2022,2389641.0
victor oladipo,Victor Oladipo,victor-oladipo,2022,2389641.0
usman garuba,Usman Garuba,usman-garuba,2022,2353320.0
leandro bolmaro,Leandro Bolmaro,leandro-bolmaro,2022,2353320.0
willy hernangomez,Willy Hernangomez,willy-hernangomez,2022,2327220.0
edmond sumner,Edmond Sumner,edmond-sumner,2022,2320000.0
nassir little,Nassir Little,nassir-little,2022,2316240.0
rj hampton,RJ Hampton,rj-hampton,2022,2303040.0
deandre bembry,DeAndre Bembry,deandre-bembry,2022,2271045.0
josh christopher,Josh Christopher,josh-christopher,2022,2259240.0
monta ellis,Monta Ellis,monta-ellis,2022,2245400.0
drew eubanks,Drew Eubanks,drew-eubanks,2022,2239820.0
rodney hood,Rodney Hood,rodney-hood,2022,2239544.0
elfrid payton,Elfrid Payton,elfrid-payton,2022,2239544.0
dylan windler,Dylan Windler,dylan-windler,2022,2239200.0
immanuel quickley,Immanuel Quickley,immanuel-quickley,2022,2210640.0
john konchar,John Konchar,john-konchar,2022,2200000.0
quentin grimes,Quentin Grimes,quentin-grimes,2022,2168640.0
jordan poole,Jordan Poole,jordan-poole,2022,2161440.0
bol bol,Bol Bol,bol-bol,2022,2161152.0
keldon johnson,Keldon Johnson,keldon-johnson,2022,2145720.0
payton pritchard,Payton Pritchard,payton-pritchard,2022,2137440.0
jahlil okafor,Jahlil Okafor,jahlil-okafor,2022,2130023.0
bones hyland,Bones Hyland,bones-hyland,2022,2096880.0
raul neto,Raul Neto,raul-neto,2022,2089448.0
frank kaminsky,Frank Kaminsky,frank-kaminsky,2022,2089448.0
nemanja bjelica,Nemanja Bjelica,nemanja-bjelica,2022,2089448.0
udoka azubuike,Udoka Azubuike,udoka-azubuike,2022,2075880.0
jaden mcdaniels,Jaden McDaniels,jaden-mcdaniels,2022,2063280.0
malachi flynn,Malachi Flynn,malachi-flynn,2022,2048040.0
demarcus cousins,DeMarcus Cousins,demarcus-cousins,2022,2038942.0
cam thomas,Cam Thomas,cam-thomas,2022,2036280.0
desmond bane,Desmond Bane,desmond-bane,2022,2033160.0
jaden springer,Jaden Springer,jaden-springer,2022,2023680.0
dayron sharpe,Day'Ron Sharpe,dayron-sharpe,2022,2009160.0
garrison mathews,Garrison Mathews,garrison-mathews,2022,2000000.0
jeremiah robinson earl,Jeremiah Robinson-Earl,jeremiah-robinson-earl,2022,2000000.0
theo maledon,Theo Maledon,theo-maledon,2022,2000000.0
kenrich williams,Kenrich Williams,kenrich-williams,2022,2000000.0
abdel nader,Abdel Nader,abdel-nader,2022,2000000.0
jordan mclaughlin,Jordan McLaughlin,jordan-mclaughlin,2022,2000000.0
santiago aldama,Santiago Aldama,santiago-aldama,2022,1994520.0
damian jones,Damian Jones,damian-jones,2022,1977011.0
wesley matthews,Wesley Matthews,wesley-matthews,2022,1958495.0
rodney mcgruder,Rodney McGruder,rodney-mcgruder,2022,1939350.0
timothe luwawu,Timothe Luwawu,timothe-luwawu,2022,1939350.0
moses brown,Moses Brown,moses-brown,2022,1933909.0
wesley iwundu,Wesley Iwundu,wesley-iwundu,2022,1926834.0
jose alvarado,Jose Alvarado,jose-alvarado,2022,1925406.0
damion lee,Damion Lee,damion-lee,2022,1910860.0
pj dozier,PJ Dozier,pj-dozier,2022,1910860.0
killian tillie,Killian Tillie,killian-tillie,2022,1901625.0
tyrell terry,Tyrell Terry,tyrell-terry,2022,1869438.0
larry sanders,Larry Sanders,larry-sanders,2022,1865546.0
carsen edwards,Carsen Edwards,carsen-edwards,2022,1859365.0
shake milton,Shake Milton,shake-milton,2022,1846738.0
jalen brunson,Jalen Brunson,jalen-brunson,2022,1802057.0
mitchell robinson,Mitchell Robinson,mitchell-robinson,2022,1802057.0
semi ojeleye,Semi Ojeleye,semi-ojeleye,2022,1789256.0
malik monk,Malik Monk,malik-monk,2022,1789256.0
dennis smith,Dennis Smith,dennis-smith,2022,1789256.0
frank ntilikina,Frank Ntilikina,frank-ntilikina,2022,1789256.0
tony bradley,Tony Bradley,tony-bradley,2022,1789256.0
didi louzada,Didi Louzada,didi-louzada,2022,1786878.0
terance mann,Terance Mann,terance-mann,2022,1782621.0
daniel gafford,Daniel Gafford,daniel-gafford,2022,1782621.0
eric paschall,Eric Paschall,eric-paschall,2022,1782621.0
kz okpala,KZ Okpala,kz-okpala,2022,1782621.0
luguentz dort,Luguentz Dort,luguentz-dort,2022,1782621.0
naz reid,Naz Reid,naz-reid,2022,1782621.0
